Country Name,Year,CO2 emissions (metric tons per capita),CO2 emissions (kt),Urban population (% of total population),Population growth (annual %),Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Methane emissions (kt of CO2 equivalent),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita)
Afghanistan,82000,7.654969949015768,184709.08375910603,902.745,106.564280611,1381383.104768736,18494.441874740365,944234.8954984733,65.752217004493,6778.402356340099
Albania,82000,68.59130955783992,235371.13781533347,1829.123,8.066252362,530632.6482538169,46649.015932966344,173851.34589774974,86.61986744659004,33507.13750909611
Algeria,82000,121.70009382623986,3554893.414632158,2443.478,85.50702738300001,5404107.873247689,-4477.766530132307,1500209.9361349493,123.38779705126566,44636.67054775676
American Samoa,82000,227.1921573390327,823672.2039496737,3462.907999999999,55.01224309200003,2360247.676980655,511684.79853925237,713367.8094624109,102.97954164356806,107208.75757762874
Andorra,82000,277.0410176019728,341966.28895115823,3757.287999999999,79.69055520500002,913897.9067214709,186847.78778882022,271720.1622742905,102.01997910291621,128959.01350291973
Angola,82000,39.25176764726662,666584.2326208348,1978.347,140.57675571399997,2461139.41981848,64614.93281463254,1075587.9562189183,67.6635552891859,25189.95177129825
Antigua and Barbuda,82000,187.34970392013838,57671.84932918281,1262.35,45.793719132,197897.2568320692,56836.55237032732,57692.93107481414,88.9393986357496,74422.9591186494
Argentina,82000,155.42206052722204,5361762.732684953,3634.0989999999993,50.186756854999985,11603761.60416414,156741.8835857447,4272618.472314483,93.56283613227406,72208.31249310735
Armenia,82000,108.17619859013745,265877.89794840623,2666.924,-2.8567521330000027,582755.9214280397,-16741.61215033476,136558.92323032508,85.39603848322402,51425.62309047096
Aruba,82000,1220.630874107309,793994.1365031671,1918.9940000000001,57.676173716999976,2576187.5333538684,692809.9051502398,774454.5237435184,133.03044421580645,478894.90309546323
Australia,82000,652.3315263567171,12489022.736739626,3493.509,57.087292260000005,21102182.239310477,-192066.38194912963,5323852.669282545,126.20566596888622,215341.44755385493
Austria,82000,309.7715569438111,2498248.3425207078,2486.714,16.651115526000005,3233635.422151653,-20600.40916276315,399808.1694635787,91.92210700995973,140063.16729724713
Azerbaijan,82000,177.5450304151863,1553545.7570100003,2183.749,51.287758871,2794699.297247228,35022.49900430621,1003295.3104941013,105.38779257571812,68314.24621659989
"Bahamas, The",82000,333.55915981174445,146016.57802137104,3303.7520000000013,64.66079776,267162.36170012516,31668.88723627525,53308.951354929464,105.30199161529217,143337.7209950224
Bahrain,82000,903.4740056470432,747711.8586552944,3617.647,160.21554179700004,1169400.0308184563,151826.41271644225,314574.5986000193,91.90685813163509,411843.0928759457
