,Entity,Code,Year,Agriculture ,Land-Use Change and Forestry ,Waste ,Industry ,Manufacturing/Construction energy ,Transport ,Electricity & Heat ,Buildings ,Fugitive from energy production ,Other Fuel Combustion ,Bunker Fuels ,Agriculture ,Land-Use Change and Forestry ,Waste ,Industry ,Manufacturing/Construction energy ,Transport ,Electricity & Heat ,Buildings ,Fugitive from energy production ,Other Fuel Combustion ,Bunker Fuels 
0,United States,USA,1990,358270000.0,-291160000.0,199340000.0,164710000.0,604500000.0,1427000000.0,2159800000.0,545500000.0,360760000.0,140960000.0,130800000.0,358270000.0,-291160000.0,199340000.0,164710000.0,604500000.0,1427000000.0,2159800000.0,545500000.0,360760000.0,140960000.0,130800000.0
1,United States,USA,1991,359280000.0,-291160000.0,201900000.0,154310000.0,566900000.0,1399700000.0,2179900000.0,555200000.0,361500000.0,140410000.0,137100000.0,359280000.0,-291160000.0,201900000.0,154310000.0,566900000.0,1399700000.0,2179900000.0,555200000.0,361500000.0,140410000.0,137100000.0
2,United States,USA,1992,366210000.0,-291160000.0,202080000.0,157310000.0,517700000.00000006,1430700000.0,2276900000.0,565000000.0,357230000.0,127200000.0,144000000.0,366210000.0,-291160000.0,202080000.0,157310000.0,517700000.00000006,1430700000.0,2276900000.0,565000000.0,357230000.0,127200000.0,144000000.0
3,United States,USA,1993,369970000.0,-291160000.0,200220000.0,160570000.0,532500000.0,1454200000.0,2335500000.0,585500000.0,345680000.0,126240000.0,132400000.0,369970000.0,-291160000.0,200220000.0,160570000.0,532500000.0,1454200000.0,2335500000.0,585500000.0,345680000.0,126240000.0,132400000.0
4,United States,USA,1994,375870000.0,-291160000.0,200520000.0,165510000.0,534900000.0,1506900000.0,2360800000.0,575900000.0,348300000.0,128980000.0,130100000.0,375870000.0,-291160000.0,200520000.0,165510000.0,534900000.0,1506900000.0,2360800000.0,575900000.0,348300000.0,128980000.0,130100000.0
5,United States,USA,1995,376920000.0,-291160000.0,195750000.0,187540000.0,486800000.0,1537800000.0,2423400000.0,580100000.0,342930000.0,130590000.0,137900000.0,376920000.0,-291160000.0,195750000.0,187540000.0,486800000.0,1537800000.0,2423400000.0,580100000.0,342930000.0,130590000.0,137900000.0
6,United States,USA,1996,380440000.0,-356840000.0,192390000.0,197280000.0,486000000.0,1577200000.0,2504000000.0,616400000.0,338990000.0,133450000.0,134600000.0,380440000.0,-356840000.0,192390000.0,197280000.0,486000000.0,1577200000.0,2504000000.0,616400000.0,338990000.0,133450000.0,134600000.0
7,United States,USA,1997,378940000.0,-372990000.0,183260000.0,198510000.0,506800000.0,1602100000.0,2738600000.0,600000000.0,333330000.0,133930000.0,126700000.0,378940000.0,-372990000.0,183260000.0,198510000.0,506800000.0,1602100000.0,2738600000.0,600000000.0,333330000.0,133930000.0,126700000.0
8,United States,USA,1998,377480000.0,-363890000.0,173820000.0,209710000.0,512800000.0,1640400000.0,2800100000.0,548600000.0,317320000.0,129430000.0,126500000.0,377480000.0,-363890000.0,173820000.0,209710000.0,512800000.0,1640400000.0,2800100000.0,548600000.0,317320000.0,129430000.0,126500000.0
9,United States,USA,1999,374370000.0,-340470000.0,167630000.0,206140000.0,499400000.0,1686200000.0,2769600000.0,567400000.0,311080000.0,124150000.0,140500000.0,374370000.0,-340470000.0,167630000.0,206140000.0,499400000.0,1686200000.0,2769600000.0,567400000.0,311080000.0,124150000.0,140500000.0
