iso_code,country,year,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,coal_co2,cement_co2,gas_co2,oil_co2,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,share_global_cement_co2,share_global_coal_co2,share_global_gas_co2,share_global_oil_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_gas_co2,cumulative_oil_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,population,gdp
CHN,China,1996,3503.234,4.33,145.325,2.799,14.5,61223.916,6.47,0.683,2660.401,192.853,44.47,510.622,0.154,2.126,0.036,0.408,30.18,29.4,1.01,5.31,1834.135,48780.18,698.314,8219.917,11.76,9.96,0.68,2.52,1251636178.0,5127589667244.04
CHN,China,1997,3510.169,0.2,6.936,2.781,14.44,64734.085,6.67,0.663,2609.556,202.874,44.159,557.961,0.161,2.068,0.035,0.442,30.79,29.0,1.0,5.72,2037.009,51389.736,742.473,8777.878,12.53,10.3,0.69,2.62,1261996017.0,5291338890182.24
CHN,China,1998,3360.455,-4.27,-149.714,2.642,13.88,68094.541,6.84,0.63,2444.771,211.369,50.501,559.262,0.166,1.922,0.04,0.44,32.3,27.9,1.12,5.68,2248.377,53834.507,792.974,9337.14,13.3,10.61,0.71,2.7,1271982349.0,5338703047530.52
CHN,China,1999,3350.34,-0.3,-10.115,2.614,13.66,71444.881,7.01,0.601,2378.49,228.322,54.572,596.751,0.178,1.856,0.043,0.466,33.33,27.36,1.18,5.92,2476.699,56212.997,847.545,9933.891,14.08,10.89,0.73,2.8,1281514833.0,5578502931607.12
CHN,China,2000,3439.152,2.65,88.812,2.665,13.63,74884.033,7.17,0.578,2396.426,244.388,59.796,648.685,0.189,1.857,0.046,0.503,34.05,26.59,1.26,6.31,2721.087,58609.423,907.342,10582.576,14.86,11.16,0.75,2.89,1290550767.0,5952682333616.4
CHN,China,2001,3514.934,2.2,75.782,2.706,13.81,78398.967,7.32,0.555,2428.857,270.828,67.158,659.301,0.208,1.87,0.052,0.507,36.21,26.8,1.4,6.36,2991.916,61038.28,974.499,11241.877,15.7,11.43,0.77,2.99,1299129747.0,6329737195923.64
CHN,China,2002,3872.595,10.18,357.662,2.962,14.87,82271.562,7.5,0.568,2778.77,296.59,53.993,653.086,0.227,2.126,0.041,0.5,37.6,29.39,1.1,6.3,3288.506,63817.05,1028.492,11894.963,16.57,11.74,0.78,3.08,1307352256.0,6814493761716.04
CHN,China,2003,4545.014,17.36,672.419,3.456,16.61,86816.576,7.72,0.627,3319.28,345.186,60.745,727.099,0.262,2.524,0.046,0.553,40.72,32.38,1.19,6.82,3633.692,67136.33,1089.238,12622.062,17.56,12.12,0.8,3.18,1315303522.0,7248622636565.2
CHN,China,2004,5223.755,14.93,678.741,3.948,18.25,92040.331,7.99,0.667,3835.288,379.992,71.521,839.093,0.287,2.899,0.054,0.634,41.9,35.2,1.36,7.62,4013.684,70971.618,1160.759,13461.155,18.58,12.56,0.82,3.3,1323084639.0,7830953031578.61
CHN,China,2005,5876.555,12.5,652.801,4.416,19.85,97916.886,8.28,0.683,4424.39,411.649,84.957,850.173,0.309,3.325,0.064,0.639,42.87,38.24,1.58,7.66,4425.333,75396.008,1245.716,14311.327,19.61,13.08,0.85,3.41,1330776380.0,8602939916574.9
CHN,China,2006,6488.804,10.42,612.248,4.848,21.22,104405.69,8.61,0.684,4905.374,470.087,103.753,898.534,0.351,3.665,0.078,0.671,44.88,40.13,1.88,8.02,4895.42,80301.383,1349.469,15209.861,20.73,13.64,0.89,3.53,1338408644.0,9489543138171.92
CHN,China,2007,6978.612,7.55,489.808,5.185,22.16,111384.302,8.95,0.674,5289.904,514.981,129.515,927.351,0.383,3.93,0.096,0.689,45.87,41.29,2.27,8.25,5410.4,85591.286,1478.985,16137.212,21.87,14.23,0.94,3.65,1345993891.0,10358205936544.4
CHN,China,2008,7496.832,7.43,518.22,5.539,23.38,118881.134,9.31,0.694,5729.474,525.924,149.674,970.117,0.388,4.233,0.111,0.717,46.18,43.29,2.55,8.66,5936.325,91320.76,1628.659,17107.329,22.94,14.86,0.99,3.78,1353569480.0,10799148330075.5
