iso_code,country,year,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,coal_co2,cement_co2,gas_co2,oil_co2,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,share_global_cement_co2,share_global_coal_co2,share_global_gas_co2,share_global_oil_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_gas_co2,cumulative_oil_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,population,gdp
IND,India,1996,825.919,8.37,63.798,0.841,3.42,15271.672,1.61,0.355,505.217,34.079,39.747,243.16,0.035,0.514,0.04,0.248,5.33,5.58,0.9,2.53,490.018,10697.416,312.762,3658.083,3.14,2.18,0.3,1.12,982365248.0,2323733022674.67
IND,India,1997,859.686,4.09,33.767,0.859,3.54,16131.358,1.66,0.358,528.474,37.418,46.024,244.202,0.037,0.528,0.046,0.244,5.68,5.87,1.04,2.5,527.436,11225.89,358.785,3902.285,3.24,2.25,0.33,1.16,1000900028.0,2403114128313.91
IND,India,1998,877.698,2.1,18.012,0.861,3.63,17009.056,1.71,0.345,524.872,39.026,47.595,262.892,0.038,0.515,0.047,0.258,5.96,5.99,1.06,2.67,566.463,11750.762,406.381,4165.177,3.35,2.32,0.36,1.21,1019483586.0,2541494217890.1
IND,India,1999,951.749,8.44,74.051,0.917,3.88,17960.805,1.76,0.355,561.326,44.592,42.316,300.51,0.043,0.541,0.041,0.29,6.51,6.46,0.92,2.98,611.055,12312.088,448.696,4465.687,3.47,2.39,0.38,1.26,1038058154.0,2681321153303.88
IND,India,2000,978.919,2.85,27.171,0.926,3.88,18939.724,1.81,0.353,573.692,45.957,43.873,312.287,0.044,0.543,0.042,0.296,6.4,6.37,0.93,3.04,657.012,12885.78,492.569,4777.973,3.59,2.45,0.41,1.31,1056575548.0,2773211135906.04
IND,India,2001,992.56,1.39,13.641,0.923,3.9,19932.284,1.86,0.342,582.912,46.74,43.569,316.115,0.044,0.542,0.04,0.294,6.25,6.43,0.91,3.05,703.752,13468.692,536.138,5094.089,3.69,2.52,0.43,1.35,1075000094.0,2906877974715.2
IND,India,2002,1023.027,3.07,30.467,0.936,3.93,20955.311,1.91,0.342,599.45,49.111,47.134,324.588,0.045,0.548,0.043,0.297,6.23,6.34,0.96,3.13,752.863,14068.142,583.272,5418.676,3.79,2.59,0.45,1.4,1093317187.0,2989575556471.24
IND,India,2003,1059.616,3.58,36.589,0.953,3.87,22014.927,1.96,0.33,626.782,50.88,49.988,329.937,0.046,0.564,0.045,0.297,6.0,6.11,0.98,3.09,803.743,14694.924,633.26,5748.613,3.88,2.65,0.47,1.45,1111523146.0,3212953734998.67
IND,India,2004,1125.471,6.21,65.855,0.996,3.93,23140.399,2.01,0.326,670.922,55.545,49.585,347.518,0.049,0.594,0.044,0.308,6.13,6.16,0.94,3.16,859.288,15365.846,682.844,6096.131,3.98,2.72,0.48,1.49,1129623466.0,3454210812182.42
IND,India,2005,1185.953,5.37,60.482,1.033,4.01,24326.352,2.06,0.32,722.497,59.687,50.439,351.646,0.052,0.63,0.044,0.306,6.22,6.24,0.94,3.17,918.974,16088.342,733.283,6447.777,4.07,2.79,0.5,1.54,1147609924.0,3709371084176.35
IND,India,2006,1259.744,6.22,73.791,1.081,4.12,25586.096,2.11,0.313,774.666,64.905,49.442,368.891,0.056,0.665,0.042,0.316,6.2,6.34,0.9,3.29,983.88,16863.009,782.725,6816.669,4.17,2.86,0.51,1.58,1165486291.0,4024058556640.22
IND,India,2007,1358.152,7.81,98.408,1.148,4.31,26944.249,2.17,0.312,843.677,68.333,52.696,391.028,0.058,0.713,0.044,0.33,6.09,6.59,0.92,3.48,1052.213,17706.686,835.421,7207.696,4.25,2.94,0.53,1.63,1183209471.0,4355554151801.83
IND,India,2008,1462.815,7.71,104.662,1.218,4.56,28407.063,2.23,0.318,912.093,73.245,63.047,412.316,0.061,0.76,0.052,0.343,6.43,6.89,1.07,3.68,1125.458,18618.779,898.467,7620.013,4.35,3.03,0.55,1.68,1200669762.0,4601841953785.29
