Entity,Code,Year,"Agriculture (GHG Emissions, CAIT)","Land-Use Change and Forestry (GHG Emissions, CAIT)","Waste (GHG Emissions, CAIT)","Industry (GHG Emissions, CAIT)","Manufacturing/Construction energy (GHG Emissions, CAIT)","Transport (GHG Emissions, CAIT)","Electricity & Heat (GHG Emissions, CAIT)","Buildings (GHG Emissions, CAIT)","Fugitive from energy production (GHG Emissions, CAIT)","Other Fuel Combustion (GHG Emissions, CAIT)","Bunker Fuels (GHG Emissions, CAIT)"
World,OWID_WRL,1990,5029150000,4196640000,1364400000,1011040000,3953600000,4595400000,8604100000,2604700000,2253380000,1354930000,630600000
World,OWID_WRL,1991,5013560000,4196650000,1395180000,1015010000,3869500000,4638700000,8741400000,2630400000,2261860000,1363190000,638100000
World,OWID_WRL,1992,4991320000,4196620000,1418280000,1031600000,3734800000,4745900000,8904000000,2523800000,2165360000,1273960000,674900000
World,OWID_WRL,1993,4962590000,4196650000,1444390000,1045740000,3685100000,4786900000,8953400000,2582300000,2129690000,1292770000,667100000
World,OWID_WRL,1994,5000420000,4196660000,1470960000,1153320000,3704300000,4884300000,9051000000,2500300000,2063050000,1263400000,694300000
World,OWID_WRL,1995,5057440000,4196670000,1476510000,1226400000,3931000000,5017100000,9243900000,2575900000,2073700000,1213920000,718500000
World,OWID_WRL,1996,5050880000,3671010000,1478310000,1278710000,3821200000,5220200000,9600000000,2647000000,2106340000,1151390000,740200000
World,OWID_WRL,1997,4980670000,4637860000,1474360000,1320850000,3846600000,5298900000,9867000000,2624800000,2091650000,1199710000,766700000
World,OWID_WRL,1998,5034790000,4071090000,1466280000,1323980000,3845200000,5419100000,10091400000,2471700000,2076100000,1177090000,791100000
World,OWID_WRL,1999,5089100000,3697770000,1464470000,1330340000,3692500000,5579000000,10137400000,2542800000,2089090000,1187710000,828500000
World,OWID_WRL,2000,5082240000,3513150000,1466760000,1389170000,3865400000,5756800000,10554200000,2534100000,2134250000,1124750000,854000000
World,OWID_WRL,2001,5149920000,3988260000,1452910000,1415160000,3887600000,5788200000,10814000000,2558800000,2179350000,1145760000,821600000
World,OWID_WRL,2002,5186940000,4958310000,1447970000,1480660000,3883900000,5927400000,10999000000,2554500000,2228840000,1157070000,860400000
World,OWID_WRL,2003,5177990000,4611360000,1443660000,1557020000,4066700000,6061400000,11622200000,2637300000,2319230000,1181720000,869900000
World,OWID_WRL,2004,5286640000,4934890000,1431880000,1656510000,4506200000,6338300000,11999700000,2678600000,2393240000,1226150000,948100000
World,OWID_WRL,2005,5323840000,4675410000,1422660000,1739830000,4922800000,6472700000,12389800000,2683500000,2481800000,1242290000,994200000
World,OWID_WRL,2006,5372790000,3905650000,1433850000,1870580000,5168400000,6619200000,12879200000,2647400000,2567020000,1259510000,1046600000
World,OWID_WRL,2007,5460190000,3406890000,1441860000,1997860000,5446300000,6826900000,13454900000,2640000000,2639990000,1269430000,1095500000
World,OWID_WRL,2008,5473290000,3369510000,1446930000,2044580000,5599200000,6835300000,13458300000,2706300000,2746400000,1272570000,1103400000
World,OWID_WRL,2009,5467330000,3691120000,1454290000,2095210000,5575900000,6701900000,13266000000,2656200000,2739150000,1289200000,1050800000
World,OWID_WRL,2010,5542990000,3341700000,1465130000,2230080000,6036200000,6987000000,14140300000,2706700000,2793840000,1308320000,1120300000
World,OWID_WRL,2011,5678140000,3400350000,1467310000,2379510000,6272200000,7091400000,14720500000,2655100000,2830660000,1307280000,1136700000
World,OWID_WRL,2012,5693470000,3466950000,1476630000,2458410000,6259700000,7161300000,15018900000,2607600000,2853290000,1352630000,1093200000
World,OWID_WRL,2013,5633180000,3366680000,1484040000,2563160000,6296500000,7357000000,15292500000,2713000000,2860380000,1395160000,1101600000
World,OWID_WRL,2014,5678150000,3576820000,1514260000,2678420000,6327500000,7478800000,15226500000,2667200000,2877380000,1415770000,1138900000
World,OWID_WRL,2015,5742440000,3912400000,1543590000,2689620000,6255100000,7697700000,15020500000,2680600000,2880050000,1432890000,1194000000
World,OWID_WRL,2016,5795510000,3217070000,1560850000,2771080000,6109300000,7866000000,15005300000,2720700000,2883170000,1429150000,1240100000
