Country Name,Year,Urban population (% of total population),Population growth (annual %),Methane emissions (kt of CO2 equivalent),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita),Entity,Code,Agriculture,Land-Use Change and Forestry,Waste,Industry,Manufacturing/Construction energy,Transport,Buildings,Fugitive from energy production,Other Fuel Combustion,Bunker Fuels,Electricity & Heat
China,1990,26.442,1.467303211,730340.0,2.496159351,766.9953294,China,CHN,588430000.0,-318410000.0,194710000.0,94350000.0,745200000.0,94200000.0,384700000.0,156910000.0,236300000.0,5600000.0,725400000.0
China,1991,27.312,1.364434008,743070.0,2.714992962,736.8518014,China,CHN,598580000.0,-318410000.0,199460000.0,112600000.0,778800000.0,100700000.0,383300000.0,162830000.0,239060000.0,7300000.0,794300000.0
China,1992,28.2,1.225536228,751660.0,2.75799281,752.6286625,China,CHN,603320000.0,-318410000.0,204210000.0,135160000.0,807800000.0,111200000.0,360000000.0,168760000.0,232830000.0,11300000.0,877700000.0
China,1993,29.103,1.149619431,757560.0,2.846293049,788.1287236,China,CHN,590480000.0,-318410000.0,208960000.0,157020000.0,861500000.0,125800000.0,370400000.0,174680000.0,237600000.0,9900000.0,997700000.0
China,1994,30.024,1.130260632,773650.0,2.841380181,816.16289,China,CHN,610470000.0,-318410000.0,213710000.0,180080000.0,903400000.0,116400000.0,341300000.0,180600000.0,246260000.0,10900000.0,1082900000.0
China,1995,30.961,1.086509151,798450.0,2.953697109,866.8343743,China,CHN,669600000.0,-318410000.0,205550000.0,204110000.0,1070200000.0,127500000.0,365700000.0,194050000.0,242200000.0,11200000.0,1185700000.0
China,1996,31.916,1.048141514,823860.0,2.855147947,881.6537374,China,CHN,712510000.0,-320280000.0,197380000.0,219900000.0,968700000.0,170000000.0,313800000.0,207490000.0,180670000.0,12400000.0,1330300000.0
China,1997,32.883,1.023450024,791730.0,2.917630452,871.7563238,China,CHN,644660000.0,-320390000.0,189200000.0,237400000.0,961100000.0,146300000.0,352600000.0,220940000.0,229540000.0,10100000.0,1328100000.0
China,1998,33.867,0.959550406,813830.0,2.993571612,869.3586073,China,CHN,667140000.0,-320090000.0,181030000.0,253390000.0,1023800000.0,140500000.0,298700000.0,234380000.0,240510000.0,10600000.0,1409600000.0
China,1999,34.865,0.865851393,825690.0,2.861456423,878.5245355,China,CHN,687290000.0,-320300000.0,172860000.0,277780000.0,871500000.0,157600000.0,305300000.0,247830000.0,246580000.0,10800000.0,1432800000.0
China,2000,35.877,0.787956593,829610.0,2.94607047,898.9873131,China,CHN,675770000.0,-320040000.0,164690000.0,301370000.0,906400000.0,248700000.0,274100000.0,261270000.0,188650000.0,13800000.0,1575300000.0
China,2001,37.093,0.726380638,824170.0,2.9854598,928.8114337,China,CHN,664550000.0,-337710000.0,156220000.0,344630000.0,961300000.0,254500000.0,277800000.0,274720000.0,195080000.0,15600000.0,1661200000.0
China,2002,38.425,0.669999568,819890.0,3.020203061,984.8107146,China,CHN,671440000.0,-337770000.0,147740000.0,387290000.0,999500000.0,276700000.0,283600000.0,288160000.0,205810000.0,17400000.0,1840500000.0
China,2003,39.776,0.622860936,815910.0,3.062691392,1118.431773,China,CHN,660520000.0,-331320000.0,139270000.0,452750000.0,1138700000.0,313400000.0,308500000.0,301610000.0,223740000.0,17000000.0,2178700000.0
China,2004,41.144,0.593932815,829700.0,3.116235385,1268.132904,China,CHN,679290000.0,-334550000.0,130790000.0,504420000.0,1500200000.0,371200000.0,352600000.0,315050000.0,237160000.0,22700000.0,2376100000.0
China,2005,42.522,0.58812499,837670.0,3.202627207,1393.691324,China,CHN,687140000.0,-336720000.0,122320000.0,552880000.0,1934300000.0,397300000.0,365500000.0,328500000.0,252190000.0,26400000.0,2553300000.0
China,2006,43.868,0.558374367,883360.0,3.237935735,1515.173678,China,CHN,689250000.0,-393830000.0,128340000.0,632320000.0,2080900000.0,434800000.0,384100000.0,370740000.0,257640000.0,30700000.0,2899700000.0
China,2007,45.199,0.522271866,921560.0,3.252784275,1630.171029,China,CHN,680710000.0,-392450000.0,134370000.0,698160000.0,2271000000.0,468600000.0,398300000.0,412970000.0,258400000.0,34000000.0,3172500000.0
China,2008,46.539,0.512386932,973580.0,3.246815182,1672.90412,China,CHN,692800000.0,-386930000.0,140390000.0,730000000.0,2406400000.0,507100000.0,383200000.0,455210000.0,258750000.0,33300000.0,3210000000.0
China,2009,47.88,0.497381401,1018910.0,3.258679169,1778.433519,China,CHN,700730000.0,-391230000.0,146410000.0,808640000.0,2596100000.0,517100000.0,391600000.0,497440000.0,264300000.0,35900000.0,3458200000.0
China,2010,49.226,0.482959689,1063830.0,3.239419267,1954.722556,China,CHN,711250000.0,-391660000.0,152440000.0,885580000.0,2795400000.0,568800000.0,416400000.0,539680000.0,269050000.0,43500000.0,3841700000.0
China,2011,50.511,0.479150454,1106190.0,3.308332359,2086.486904,China,CHN,709960000.0,-309910000.0,158460000.0,975360000.0,2997500000.0,621900000.0,440700000.0,581910000.0,277120000.0,47000000.0,4328300000.0
China,2012,51.765,0.487231118,1151100.0,3.274925199,2155.164788,China,CHN,711820000.0,-310150000.0,164480000.0,1002330000.0,3029800000.0,686100000.0,457200000.0,624150000.0,285290000.0,47200000.0,4455400000.0
China,2013,53.013,0.493709634,1178020.0,3.306811614,2213.759327,China,CHN,714780000.0,-309850000.0,169550000.0,1058980000.0,3026800000.0,741100000.0,476600000.0,647720000.0,297460000.0,44700000.0,4747800000.0
China,2014,54.259,0.506311592,1206210.0,3.242644147,2236.729908,China,CHN,716930000.0,-307070000.0,174620000.0,1112430000.0,3026900000.0,770600000.0,487000000.0,671300000.0,298020000.0,44700000.0,4641500000.0
China,2015,55.5,0.508136747,1237520.0,1.956382066310752,1944.0352966184469,China,CHN,727460000.0,-309770000.0,179680000.0,1090680000.0,2976800000.0,827200000.0,510500000.0,694870000.0,300490000.0,53100000.0,4586200000.0
China,2016,56.736,0.541478512,1242150.0,1.9664394335700663,2038.733724982156,China,CHN,730600000.0,-309980000.0,185650000.0,1122480000.0,2842400000.0,843500000.0,525100000.0,693380000.0,299640000.0,57100000.0,4644100000.0
