AG.LND.AGRI.K2,AG.LND.AGRI.ZS,AG.LND.ARBL.ZS,AG.LND.FRST.K2,AG.LND.FRST.ZS,AG.YLD.CREL.KG,BX.KLT.DINV.WD.GD.ZS,EG.ELC.ACCS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNEW.ZS,EG.ELC.RNWX.KH,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,EG.USE.COMM.GD.PP.KD,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.EG.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.KD.GD,EN.ATM.CO2E.KT,EN.ATM.CO2E.LF.KT,EN.ATM.CO2E.LF.ZS,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD,EN.ATM.CO2E.PP.GD.KD,EN.ATM.CO2E.SF.KT,EN.ATM.CO2E.SF.ZS,EN.ATM.GHGO.KT.CE,EN.ATM.GHGO.ZG,EN.ATM.GHGT.KT.CE,EN.ATM.GHGT.ZG,EN.ATM.METH.KT.CE,EN.ATM.METH.ZG,EN.ATM.NOXE.KT.CE,EN.ATM.NOXE.ZG,EN.URB.MCTY.TL.ZS,NV.AGR.TOTL.ZS,SE.ENR.PRSC.FM.ZS,SH.DYN.MORT,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,ISO_CODE,Country,Year
5243228.444,55.63284065,12.75985887,1793615.33,19.03100674,4802.2,3.51300212,97.21321869,76.25245704,18.73339325,0.333164748,1.179784044,3.276075003,18.95851917,3334000000.0,0.225125916,28.33499908,250.1958067,1076.549121,928.8114337,2.9854598,67212.443,1.905789835,1.175185009,3526750.0,659839.98,18.70957624,2.772929198,0.863838343,0.746949523,2430843.299,68.92587507,-234498.5,28.82602134,4791440.0,32.18471457,824170.0,3.42016501,388460.0,23.93396647,17.79221913,13.98346135,0.964619994,34.2,0.726380638,1271850000.0,4.059565758,471767321.0,37.093,CHN,China,2001
5249146.889,55.69563782,12.8014352,1817225.16,19.28151688,4873.5,3.609099885,97.4872818,77.54358093,17.40903562,0.25354197,1.519015043,3.065234161,17.6186279,3467000000.0,0.209592277,26.97839928,244.7126419,1194.856295,984.8107146,3.020203061,54036.912,1.418913592,1.162806733,3808330.0,653620.748,17.16292307,2.974328335,0.841430066,0.73908187,2781045.466,73.02532779,-235030.5938,78.87680996,5100860.0,40.6465907,819890.0,6.773460778,406210.0,23.93396647,18.2966462,13.30148771,0.9387670057942721,31.5,0.669999568,1280400000.0,4.198001148,491993700.0,38.425,CHN,China,2002
5255055.333,55.75833183,12.82115475,1840834.99,19.53202806,4875.8,3.48740331,97.75187683,79.55556835,14.84653972,0.269788644,2.268318021,2.869284654,15.03704033,3640000000.0,0.190500614,23.84149933,254.1413772,1379.484632,1118.431773,3.062691392,60795.193,1.377544989,1.224598168,4413300.0,727694.148,16.48866263,3.425411363,0.869987088,0.778356608,3321997.639,75.27241835,-266620.4063,221.3417312,5717660.0,59.96614779,815910.0,12.74645741,407630.0,24.42839842,18.82801676,12.34899897,1.0023300786730118,28.8,0.622860936,1288400000.0,4.078403526,512473984.0,39.776,CHN,China,2003
5260913.778,55.82048764,12.84087253,1864444.82,19.78253654,5189.8,3.483641114,98.00583649,78.17369805,16.04464167,0.338551996,2.290399555,2.974083981,16.22326642,3936000000.0,0.178624753,20.16080093,263.2503916,1585.838782,1268.132904,3.116235385,71579.84,1.397544237,1.290667187,5121830.0,839779.67,16.39608636,3.951800629,0.892885893,0.820350185,3838428.583,74.94252216,-262726.5,187.0923328,6467060.0,82.82137879,829700.0,23.0492374,420330.0,32.35843129,19.38526837,12.91664817,1.027617984149508,26.3,0.593932815,1296075000.0,3.97537213,533257098.0,41.144,CHN,China,2004
5266822.222,55.88318285,12.86695861,1888054.65,20.03304816,5225.6,4.554254034,98.2481308,79.19611784,15.87772039,0.485589486,2.12312425,2.020143445,16.17502498,7434000000.0,0.297304582,17.44079971,261.2527911,1782.312153,1393.691324,3.202627207,85026.729,1.461161292,1.316383155,5819120.0,850868.678,14.62194761,4.463473752,0.88316613,0.836695297,4428012.51,76.09419483,-255787.5,230.7913516,7194480.0,100.4671666,837670.0,30.57104365,428090.0,35.27494241,19.96228124,11.6414956,1.0497706396179112,24.0,0.58812499,1303720000.0,3.882472976,554367818.0,42.522,CHN,China,2005
5272720.667,55.94576662,12.90301725,1911664.48,20.28355789,5315.5,4.508579016,98.48129272,80.33949603,15.2056174,0.831101965,1.913603638,1.323014954,15.59278342,11096000000.0,0.387166019,16.38509941,253.3827739,2039.01466,1515.173678,3.237935735,103838.439,1.614426181,1.290803992,6431910.0,899269.411,13.98137429,4.906034996,0.84056768,0.820437138,4909390.601,76.32865822,-317003.3125,287.5876779,7879330.0,120.2443062,883360.0,36.94820584,439850.0,40.65997104,20.56777151,10.62576053,0.98803997,21.9,0.558374367,1311020000.0,3.674728093,575118254.0,43.868,CHN,China,2006
5278619.111,56.00835158,12.89663449,1935274.31,20.53406803,5319.8,4.40096483,98.71140289,80.95423534,14.78656465,1.033186158,1.893174152,0.856057213,15.26334714,15647000000.0,0.476782488,14.88370037,239.9012925,2325.926769,1630.171029,3.252784275,135433.311,1.938025775,1.227729916,6988210.0,904450.882,12.9425258,5.302594688,0.778579222,0.780347152,4978938.923,71.24770038,-386950.0,260.4647343,8497040.0,134.3901334,921560.0,42.0155176,448440.0,44.56079328,21.20194175,10.24616576,0.991550028,20.1,0.522271866,1317885000.0,3.511255552,595670841.0,45.199,CHN,China,2007
5284517.556,56.07093654,12.92261352,1958884.14,20.78457818,5549.2,3.73363489,98.94470215,78.75051375,16.87787066,0.996947091,1.972608903,0.542486196,17.73744406,29803000000.0,0.8595734,14.13780022,225.6754989,2446.369055,1672.90412,3.246815182,149796.95,2.081956106,1.152807963,7195010.0,970911.59,13.49423545,5.431610495,0.71711771,0.732726636,5734164.907,79.69641331,-344264.0,293.9691096,8786120.0,157.4585442,973580.0,51.16578655,464100.0,47.61297725,21.86338398,10.16904785,0.996969998,18.5,0.512386932,1324655000.0,3.433957689,616481190.0,46.539,CHN,China,2008
5290386.0,56.1332002,12.94296832,1982493.97,21.03508722,5449.9,2.568888291,99.18741608,78.38266989,16.5714641,1.539355612,1.887829029,0.326347266,17.8637982,48011000000.0,1.292334096,13.43190002,220.3935257,2612.45662,1778.433519,3.258679169,171916.294,2.228306453,1.129940111,7715110.0,952294.231,12.34323595,5.79534426,0.697574534,0.718191791,5613696.623,72.76236662,-335582.0,295.6555547,9377660.0,172.7498305,1018910.0,55.64307559,475600.0,55.01397704,22.55125881,9.636185514,1.003350019,17.1,0.497381401,1331260000.0,3.338102468,637407288.0,47.88,CHN,China,2009
5289168.0,56.12027552,12.87784131,2006103.8,21.2855969,5526.1,4.0035629,99.7,77.18719414,16.94897365,1.859881006,1.760219422,0.353949915,18.62282605,70255000000.0,1.673852403,12.26130009,220.01274,2943.589954,1954.722556,3.239419267,199748.824,2.358150915,1.121321061,8470570.0,1093466.397,12.90900609,6.332165911,0.684279943,0.712713509,6574171.931,77.61191904,-285418.0,306.1403514,10203820.0,187.3039783,1063830.0,61.49511756,486770.0,61.63736194,23.27010133,9.325176941,0.988950014,15.8,0.482959689,1337705000.0,3.255365494,658498663.0,49.226,CHN,China,2010
