AG.LND.AGRI.K2,AG.LND.AGRI.ZS,AG.LND.ARBL.ZS,AG.LND.FRST.K2,AG.LND.FRST.ZS,AG.YLD.CREL.KG,BX.KLT.DINV.WD.GD.ZS,EG.ELC.ACCS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNEW.ZS,EG.ELC.RNWX.KH,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,EG.USE.COMM.GD.PP.KD,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.EG.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.KD.GD,EN.ATM.CO2E.KT,EN.ATM.CO2E.LF.KT,EN.ATM.CO2E.LF.ZS,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD,EN.ATM.CO2E.PP.GD.KD,EN.ATM.CO2E.SF.KT,EN.ATM.CO2E.SF.ZS,EN.ATM.GHGO.KT.CE,EN.ATM.GHGO.ZG,EN.ATM.GHGT.KT.CE,EN.ATM.GHGT.ZG,EN.ATM.METH.KT.CE,EN.ATM.METH.ZG,EN.ATM.NOXE.KT.CE,EN.ATM.NOXE.ZG,EN.URB.MCTY.TL.ZS,NV.AGR.TOTL.ZS,SE.ENR.PRSC.FM.ZS,SH.DYN.MORT,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,ISO_CODE,Country,Year
1804870.0,60.70483218,53.92356358,677815.0,22.7975676,2423.1,1.056378305,55.8,69.41705728,12.52985951,9.509819423,3.311111905,4.554967858,13.20704353,3983000000.0,0.677184016,51.85850143,156.5176515,393.8101981,416.0144408,2.132931139,43604.297,4.571256028,1.136719278,953880.0,298068.428,31.24800059,0.887330155,0.402153184,0.333841373,643881.196,67.50127857,-120522.7266,-34.80741606,1741320.0,35.19092885,594700.0,10.66217121,185000.0,19.42506928,12.56137965,21.62050461,0.809880018,88.2,1.72876857,1075000094.0,2.631895927,300118526.0,27.918,IND,India,2001
1805600.0,60.72938494,53.95955186,679720.0,22.86164019,2187.3,1.011571805,62.3,69.89346472,11.20700669,10.30053956,3.176074771,4.574759788,12.05516116,5178000000.0,0.84815447,50.80810165,155.2886243,410.6447839,421.2704908,2.144090358,47172.288,4.776795439,1.13369386,987530.0,284834.225,28.84309591,0.903241998,0.394837447,0.332952842,662153.857,67.05151813,-121031.4766,-19.48849813,1763940.0,38.19616575,589390.0,10.16830704,179100.0,15.61236501,12.65438801,19.5366997,0.830370009,84.6,1.689561661,1093317187.0,2.850502002,308796506.0,28.244,IND,India,2002
1802490.0,60.62478348,53.74664922,681625.0,22.92571279,2399.4,0.605889255,64.02313232,67.83142323,12.41509011,11.18590369,2.731866812,4.776311119,13.46942476,6862000000.0,1.054334649,50.82979965,147.4199402,430.4831633,424.2943448,2.15407555,50028.881,4.92463564,1.081260232,1015890.0,293851.378,28.92551142,0.913962074,0.369710243,0.317553689,692344.268,68.15149947,-126567.2813,4.404376004,1808910.0,42.45994632,598510.0,11.98803202,186410.0,20.14158496,12.75500915,19.58060679,0.915700018,81.2,1.651491269,1111523146.0,2.806108442,317584393.0,28.572,IND,India,2003
1803750.0,60.66716221,53.70696121,683530.0,22.98978538,2350.0,0.765601405,64.4,67.69168015,13.23292266,11.19561515,2.487021028,4.132949118,14.4825005,8547000000.0,1.249577845,50.07279968,143.863248,451.6115461,439.7030045,2.1888314,49625.511,4.564566543,1.07219861,1087190.0,296858.318,27.30510012,0.962435743,0.357000631,0.314892395,741104.367,68.1669595,-114430.7031,41.10937106,1894780.0,50.66868304,606520.0,12.46087241,192800.0,23.35311063,12.86362663,17.81469065,0.001478035661058641,77.8,1.615308295,1129623466.0,2.767126132,326495070.0,28.903,IND,India,2004
1801260.0,60.58341377,53.62724885,685435.0,23.05385798,2411.6,0.88610072,67.09343719,66.85963647,15.07847346,10.54515018,2.420716098,3.544440346,16.61901808,11025000000.0,1.540544619,48.53239822,138.5229588,468.025754,449.765857,2.204257098,50479.922,4.436859212,1.039673742,1137740.0,300011.938,26.36911228,0.991399583,0.335713818,0.305340215,798071.212,70.14530666,-116803.8906,-19.09039527,1969680.0,52.62387195,621230.0,13.81573825,202260.0,23.57866684,12.97904888,17.62020695,-0.15862841913427417,74.5,1.579709143,1147609924.0,2.721831742,335503761.0,29.235,IND,India,2005
1799060.0,60.50941918,53.36423168,687340.0,23.11793057,2446.5,2.130168425,67.9,66.68824892,15.55627927,10.25660908,2.429877072,3.071012065,17.54042472,15353000000.0,1.984145446,46.0632019,134.9257976,509.2140548,466.1382611,2.235044585,49482.498,4.075149104,1.026819845,1214250.0,316902.14,26.0985909,1.041839796,0.321824196,0.301565173,855698.117,70.47132938,-135049.1953,10.7070012,2065570.0,60.93451502,630640.0,14.79470668,211620.0,25.67922763,13.10259041,16.80944209,-0.3538292001069294,71.2,1.545696439,1165486291.0,2.681685772,344622641.0,29.569,IND,India,2006
1796200.0,60.4132262,53.14897467,689245.0,23.18200317,2583.3,2.073395746,70.13076019,65.48205784,15.52570963,11.57179232,2.058980309,2.997706308,17.86408569,19258000000.0,2.338376056,44.90340042,132.4060986,541.7383952,485.0996287,2.327803863,52738.794,3.94721907,1.04946375,1336100.0,335739.519,25.12832266,1.129216789,0.320316614,0.308215428,931927.713,69.74984754,-97510.39063,102.1576192,2209240.0,71.69238453,642980.0,16.42288166,220490.0,27.86807338,13.23435806,16.75011976,0.942560017,67.9,1.509221986,1183209471.0,2.642483378,353850624.0,29.906,IND,India,2007
1797570.0,60.45930465,53.13989352,691150.0,23.24607576,2637.9,3.620521897,71.6510849,68.44469591,13.76817488,10.24370694,1.759522841,3.0121824,16.50983374,23259000000.0,2.741658857,43.40510178,134.7593578,561.2475814,501.5596362,2.364434229,63098.069,4.431417605,1.084923806,1423880.0,403403.003,28.33125004,1.185904772,0.324821502,0.318629638,1007497.249,70.75717399,-105233.2031,13.41217945,2309340.0,75.7794302,650450.0,18.03762478,224730.0,29.68531801,13.37611399,16.79094236,0.967050016,64.7,1.464889915,1200669762.0,2.595371485,363154576.0,30.246,IND,India,2008
1800680.0,60.56390611,53.11601344,693055.0,23.31014836,2580.8,2.651593127,75.0,66.96802144,12.33356081,12.6579905,2.031610091,2.649073042,15.66005525,30514000000.0,3.326494437,42.10749817,137.5920249,598.4982419,544.6265973,2.365071783,91245.961,5.817291413,1.108027801,1568530.0,454836.345,28.99761847,1.288080997,0.329228862,0.325415016,1088420.605,69.39112449,-161638.9063,66.41280721,2452660.0,87.01835222,644140.0,20.87077383,229100.0,33.58722116,13.5281035,16.74427016,0.989970028,61.4,1.410582714,1217726217.0,2.531696551,372465918.0,30.587,IND,India,2009
1795730.0,60.39741826,52.80826318,694960.0,23.37422095,2676.4,1.635034274,76.3,67.17829809,12.56565137,11.56699503,2.681802217,2.490565807,16.04374444,34065000000.0,3.478093068,41.1128006,132.5583797,640.3946068,561.6534059,2.402218969,100318.119,6.023990668,1.084258529,1665310.0,414257.323,24.87568819,1.349214466,0.318455483,0.318434254,1093532.403,65.66539581,-166579.0938,243.2754796,2564130.0,99.76308558,650140.0,20.98017535,237170.0,38.05301485,13.69290807,17.02650901,0.989049971,58.2,1.350338314,1234281163.0,2.465488847,381763164.0,30.93,IND,India,2010
