AG.LND.AGRI.K2,AG.LND.AGRI.ZS,AG.LND.ARBL.ZS,AG.LND.FRST.K2,AG.LND.FRST.ZS,AG.YLD.CREL.KG,BX.KLT.DINV.WD.GD.ZS,EG.ELC.ACCS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNEW.ZS,EG.ELC.RNWX.KH,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,EG.USE.COMM.GD.PP.KD,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.EG.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.KD.GD,EN.ATM.CO2E.KT,EN.ATM.CO2E.LF.KT,EN.ATM.CO2E.LF.ZS,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD,EN.ATM.CO2E.PP.GD.KD,EN.ATM.CO2E.SF.KT,EN.ATM.CO2E.SF.ZS,EN.ATM.GHGO.KT.CE,EN.ATM.GHGO.ZG,EN.ATM.GHGT.KT.CE,EN.ATM.GHGT.ZG,EN.ATM.METH.KT.CE,EN.ATM.METH.ZG,EN.ATM.NOXE.KT.CE,EN.ATM.NOXE.ZG,EN.URB.MCTY.TL.ZS,NV.AGR.TOTL.ZS,SE.ENR.PRSC.FM.ZS,SH.DYN.MORT,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,ISO.CODE,COUNTRY,Year
4149440.0,45.2900702,19.1444588,3040544.0,33.18675561,5891.1,1.630116343,100.0,51.63342695,4.90388871,17.19049367,20.64701468,3.374907622,6.783992314,72174000000.0,1.880103604,4.67869997,156.3509615,13046.61415,7827.886325,2.577324687,1179494.217,20.51561885,0.414349351,5749250.0,2327815.267,40.48902495,20.17500468,0.543313838,0.402967193,2038155.27,35.45080263,118677.5938,11.03862969,6806970.0,11.16577021,672400.0,-13.52260537,255040.0,-3.768367757,43.80948023,1.129325505,0.8926942031083485,8.3,0.989741382,284968955.0,1.213380422,225792302.0,79.234,USA,United States,2001
4130640.0,45.08487304,18.87999459,3045728.0,33.24333764,5546.8,1.015460357,100.0,50.65729949,6.63207993,17.69402387,19.9811047,2.636052711,8.646361178,81103000000.0,2.014281247,4.840799809,155.4131488,13296.1823,7843.344849,2.479742871,1225702.084,21.91038662,0.396270172,5594160.0,2304383.137,41.19265693,19.44947847,0.51151661,0.385384648,2060362.622,36.83059873,38003.59375,62.91818091,6646960.0,13.78227532,659770.0,-13.59066928,255210.0,-4.328858747,43.8598993,0.970430947,0.8907968097776262,8.2,0.927797486,287625193.0,1.148418847,228400290.0,79.409,USA,United States,2002
4130223.0,45.08032159,18.63488221,3050912.0,33.29991967,6023.7,1.022023979,100.0,51.38116764,6.87134694,16.52897698,19.42999258,3.379207423,8.889376121,81824000000.0,2.018029181,5.326300144,151.4401477,13307.49201,7794.23553,2.502965767,1189992.838,21.02598294,0.389756088,5659630.0,2376461.689,41.98970055,19.50870471,0.493935202,0.379049506,2056915.642,36.34364158,26838.90625,40.19113447,6706390.0,13.93658196,659470.0,-13.54754123,260060.0,-4.170052966,43.94497754,1.11525742,1.0262759895057627,8.1,0.859481713,290107933.0,1.078360384,230876596.0,79.583,USA,United States,2003
4129809.0,45.07580289,18.393077,3056096.0,33.35650169,6851.1,1.749187307,100.0,50.39668955,6.535987734,17.6359183,19.60760159,3.353093479,8.630185532,86869000000.0,2.094197798,5.477700233,148.9043291,13388.58971,7881.578642,2.487264769,1168709.57,20.36068749,0.380825758,5740030.0,2428170.056,42.30239312,19.60357288,0.469965391,0.370364492,2104619.645,36.66565584,58947.29688,150.1793335,6787570.0,18.05999208,654670.0,-14.66714552,258750.0,-3.01170492,44.00647593,1.25866008,1.170015258676088,8.1,0.925483969,292805298.0,1.143885301,233532722.0,79.757,USA,United States,2004
4129396.0,45.0712951,18.14800828,3061280.0,33.41308372,6450.7,1.091876415,100.0,50.45708636,6.382108498,18.33801176,18.99150762,3.309762006,8.578465534,93760000000.0,2.196357036,5.841199875,144.5363988,13704.57705,7846.499688,2.482384092,1162996.384,20.20465984,0.368929329,5756080.0,2446413.381,42.50137908,19.478026,0.441530939,0.358794857,2123574.368,36.8927181,64437.90625,119.5591224,6801820.0,17.05832709,652360.0,-15.56373856,257930.0,-3.451690347,44.0731446,1.142255277,1.00387001,8.0,0.921713167,295516599.0,1.135884591,236200507.0,79.928,USA,United States,2005
4128988.0,45.06684188,17.90293956,3066464.0,33.46966575,6400.4,2.160487842,100.0,49.77287778,6.827327462,19.71396097,19.09223158,1.839082987,9.244631183,103340000000.0,2.417303722,6.396699905,139.19447,13583.26696,7697.652535,2.462782441,1151434.333,20.35566249,0.352488541,5656580.0,2394921.367,42.33868109,18.9576435,0.409463562,0.342805697,2094220.033,37.02272456,90576.79688,71.02920478,6707430.0,13.98273022,653140.0,-15.19158266,260110.0,-5.986043774,44.12657746,1.000677774,1.5915834538798777,7.9,0.964253917,298379912.0,1.17796816,238999326.0,80.099,USA,United States,2006
4128576.0,45.06234501,17.65787084,3071648.0,33.52624777,6704.4,2.398397384,100.0,48.99390945,5.772985824,21.16591099,19.34899275,1.80706605,8.367763936,112196000000.0,2.594778112,6.304200172,139.0210326,13657.45283,7758.165986,2.456254093,1244700.811,21.68366316,0.351116124,5740270.0,2377235.426,41.41330331,19.05602695,0.397199429,0.34147098,2111062.564,36.77636355,102610.5,103.3489548,6797860.0,16.18062371,645850.0,-14.84232383,263290.0,-6.083195546,44.19076175,1.066822141,1.8801604336474043,7.7,0.951055243,301231207.0,1.163067761,241795278.0,80.269,USA,United States,2007
4109023.0,44.92002116,17.53778661,3076832.0,33.6360635,6598.3,2.318328109,100.0,49.10443981,5.911010412,20.95740713,19.29099374,1.330330787,9.003541347,134308000000.0,3.092530935,6.845600128,135.6417657,13663.42797,7488.081921,2.443189834,1240762.453,22.30247393,0.340759224,5563340.0,2242168.815,40.30256671,18.29480563,0.378128115,0.331398583,2078492.27,37.36051131,109824.0938,90.29053164,6619980.0,8.358700857,659100.0,-14.08922959,248090.0,-8.873506525,44.26293812,1.065783136,2.254807397013849,7.6,0.945865287,304093966.0,1.156185671,244607104.0,80.438,USA,United States,2008
4089470.0,44.7062669,17.38971207,3082016.0,33.69273522,7226.2,1.114843565,100.0,45.4377316,6.616179258,22.80158304,19.93112298,1.211049612,10.29184507,153106000000.0,3.675665813,7.354400158,132.3110272,12913.71469,7056.783653,2.383361785,1227971.957,23.79998172,0.32425224,5159550.0,2152257.642,41.71405727,16.81886848,0.357088651,0.315345046,1842018.441,35.70114527,114027.5,156.3932123,6194450.0,7.62660236,649370.0,-17.08513948,241240.0,-8.209324702,44.36956534,0.968572536,2.7286739157772217,7.5,0.876651299,306771529.0,1.085290294,247276259.0,80.606,USA,United States,2009
4069917.0,44.49251264,17.24163753,3087200.0,33.74940694,6978.1,1.761193112,100.0,45.79760576,6.023062386,23.37584166,19.26644609,1.104317669,10.12035515,178411000000.0,4.097292761,7.43569994,132.0072543,13394.90276,7161.426552,2.434458519,1275074.572,23.64371053,0.330443452,5392870.0,2166283.917,40.16940733,17.43419587,0.35971525,0.321366185,1911717.11,35.44897448,85723.0,120.2306897,6442580.0,9.407540304,649940.0,-17.71026103,246690.0,-8.368130482,44.50312981,1.042481339,2.982749155147985,7.3,0.829616675,309327143.0,1.035344801,249849720.0,80.772,USA,United States,2010
